"rgb","r","g","b","colorname","RGB"
"160 - 180 - 20","160","180","20","snot green","[160, 180, 20]"
"70 - 100 - 90","70","100","90","blue green","[70, 100, 90]"
"160 - 180 - 20","160","180","20","puke green","[160, 180, 20]"
"110 - 100 - 10","110","100","10","gold brown","[110, 100, 10]"
"190 - 220 - 210","190","220","210","faint blue","[190, 220, 210]"
"190 - 220 - 210","190","220","210","drab green","[190, 220, 210]"
"220 - 20 - 0","220","20","0","red orange","[220, 20, 0]"
"200 - 100 - 70","200","100","70","rust brown","[200, 100, 70]"
"50 - 80 - 100","50","80","100","slate blue","[50, 80, 100]"
"160 - 180 - 20","160","180","20","lime green","[160, 180, 20]"
"160 - 180 - 20","160","180","20","sick green","[160, 180, 20]"
"150 - 200 - 180","150","200","180","light teal","[150, 200, 180]"
"220 - 20 - 0","220","20","0","hooker red","[220, 20, 0]"
"70 - 100 - 90","70","100","90","pine green","[70, 100, 90]"
"170 - 160 - 40","170","160","40","chartreuse","[170, 160, 40]"
"150 - 200 - 180","150","200","180","grey green","[150, 200, 180]"
"190 - 220 - 210","190","220","210","light blue","[190, 220, 210]"
"160 - 180 - 20","160","180","20","ugly green","[160, 180, 20]"
"220 - 20 - 0","220","20","0","red orange","[220, 20, 0]"
"200 - 160 - 180","200","160","180","light pink","[200, 160, 180]"
"70 - 100 - 90","70","100","90","gray green","[70, 100, 90]"
"200 - 100 - 70","200","100","70","terracotta","[200, 100, 70]"
"220 - 240 - 150","220","240","150","off white","[220, 240, 150]"
"50 - 80 - 100","50","80","100","slate blue","[50, 80, 100]"
"160 - 180 - 20","160","180","20","puke green","[160, 180, 20]"
"100 - 60 - 20","100","60","20","dark brown","[100, 60, 20]"
"150 - 200 - 180","150","200","180","light blue","[150, 200, 180]"
"50 - 80 - 100","50","80","100","slate blue","[50, 80, 100]"
"160 - 180 - 20","160","180","20","icky green","[160, 180, 20]"
"150 - 200 - 180","150","200","180","light blue","[150, 200, 180]"
"200 - 170 - 170","200","170","170","light pink","[200, 170, 170]"
"50 - 80 - 100","50","80","100","steel blue","[50, 80, 100]"
"70 - 100 - 90","70","100","90","slate grey","[70, 100, 90]"
"170 - 160 - 40","170","160","40","puke green","[170, 160, 40]"
"160 - 180 - 20","160","180","20","chartreuse","[160, 180, 20]"
"150 - 200 - 180","150","200","180","mint green","[150, 200, 180]"
"220 - 240 - 150","220","240","150","lime green","[220, 240, 150]"
"120 - 80 - 40","120","80","40","turd brown","[120, 80, 40]"
"110 - 100 - 10","110","100","10","puke green","[110, 100, 10]"
"170 - 160 - 40","170","160","40","puke green","[170, 160, 40]"
"190 - 220 - 210","190","220","210","light blue","[190, 220, 210]"
"200 - 160 - 180","200","160","180","dull grape","[200, 160, 180]"
"110 - 100 - 10","110","100","10","puke green","[110, 100, 10]"
"110 - 100 - 10","110","100","10","dark olive","[110, 100, 10]"
"160 - 180 - 20","160","180","20","chartreuse","[160, 180, 20]"
"190 - 220 - 210","190","220","210","light blue","[190, 220, 210]"
"190 - 220 - 210","190","220","210","light blue","[190, 220, 210]"
"160 - 180 - 20","160","180","20","puke green","[160, 180, 20]"
"220 - 240 - 150","220","240","150","lime green","[220, 240, 150]"
"150 - 200 - 180","150","200","180","steel blue","[150, 200, 180]"
"200 - 160 - 180","200","160","180","dark rose?","[200, 160, 180]"
"50 - 80 - 100","50","80","100","blue green","[50, 80, 100]"
"150 - 200 - 180","150","200","180","steel blue","[150, 200, 180]"
"160 - 0 - 80","160","0","80","purple red","[160, 0, 80]"
"70 - 100 - 90","70","100","90","pale green","[70, 100, 90]"
"100 - 60 - 20","100","60","20","dark brown","[100, 60, 20]"
"160 - 180 - 20","160","180","20","moss green","[160, 180, 20]"
"100 - 60 - 20","100","60","20","puke brown","[100, 60, 20]"
"110 - 100 - 10","110","100","10","army green","[110, 100, 10]"
"50 - 80 - 100","50","80","100","steel blue","[50, 80, 100]"
"190 - 220 - 210","190","220","210","mint green","[190, 220, 210]"
"190 - 220 - 210","190","220","210","mint green","[190, 220, 210]"
"50 - 80 - 100","50","80","100","steel blue","[50, 80, 100]"
"50 - 80 - 100","50","80","100","steel blue","[50, 80, 100]"
"200 - 100 - 70","200","100","70","pale coral","[200, 100, 70]"
"70 - 100 - 90","70","100","90","dark green","[70, 100, 90]"
"150 - 200 - 180","150","200","180","blue green","[150, 200, 180]"
"70 - 100 - 90","70","100","90","grey green","[70, 100, 90]"
"220 - 240 - 150","220","240","150","dark white","[220, 240, 150]"
"220 - 240 - 150","220","240","150","light puke","[220, 240, 150]"
"170 - 160 - 40","170","160","40","chartreuse","[170, 160, 40]"
"50 - 80 - 100","50","80","100","slate blue","[50, 80, 100]"
"170 - 160 - 40","170","160","40","dark green","[170, 160, 40]"
"110 - 100 - 10","110","100","10","vomit  eww","[110, 100, 10]"
"120 - 80 - 40","120","80","40","dark ochre","[120, 80, 40]"
"160 - 180 - 20","160","180","20","lime green","[160, 180, 20]"
"240 - 0 - 10","240","0","10","bright red","[240, 0, 10]"
"110 - 100 - 10","110","100","10","dark olive","[110, 100, 10]"
"30 - 90 - 210","30","90","210","light blue","[30, 90, 210]"
"190 - 220 - 210","190","220","210","light sage","[190, 220, 210]"
"190 - 220 - 210","190","220","210","light grey","[190, 220, 210]"
"70 - 100 - 90","70","100","90","slate blue","[70, 100, 90]"
"150 - 200 - 180","150","200","180","light teal","[150, 200, 180]"
"250 - 120 - 30","250","120","30","sun orange","[250, 120, 30]"
"200 - 160 - 180","200","160","180","grey lilac","[200, 160, 180]"
"70 - 100 - 90","70","100","90","dark green","[70, 100, 90]"
"130 - 130 - 130","130","130","130","steel gray","[130, 130, 130]"
"220 - 240 - 150","220","240","150","pale green","[220, 240, 150]"
"50 - 80 - 100","50","80","100","denim blue","[50, 80, 100]"
"100 - 60 - 20","100","60","20","dark brown","[100, 60, 20]"
"70 - 100 - 90","70","100","90","dark green","[70, 100, 90]"
"200 - 170 - 170","200","170","170","dusty pink","[200, 170, 170]"
"220 - 240 - 150","220","240","150","greenellow","[220, 240, 150]"
"220 - 240 - 150","220","240","150","pale green","[220, 240, 150]"
"150 - 200 - 180","150","200","180","mint green","[150, 200, 180]"
"200 - 100 - 70","200","100","70","dark melon","[200, 100, 70]"
"200 - 170 - 170","200","170","170","periwinkle","[200, 170, 170]"
"200 - 160 - 180","200","160","180","pink lilac","[200, 160, 180]"
"160 - 180 - 20","160","180","20","puke green","[160, 180, 20]"
"150 - 200 - 180","150","200","180","pale green","[150, 200, 180]"
"190 - 220 - 210","190","220","210","light teal","[190, 220, 210]"
"150 - 200 - 180","150","200","180","eucalyptus","[150, 200, 180]"
"200 - 100 - 70","200","100","70","dark beige","[200, 100, 70]"
"200 - 160 - 180","200","160","180","grey mauve","[200, 160, 180]"
"200 - 100 - 70","200","100","70","dusty rose","[200, 100, 70]"
"70 - 100 - 90","70","100","90","blue green","[70, 100, 90]"
"100 - 60 - 20","100","60","20","shit brown","[100, 60, 20]"
"200 - 160 - 180","200","160","180","dirty pink","[200, 160, 180]"
"160 - 180 - 20","160","180","20","puke green","[160, 180, 20]"
"190 - 220 - 210","190","220","210","light blue","[190, 220, 210]"
"220 - 240 - 150","220","240","150","pale green","[220, 240, 150]"
"190 - 220 - 210","190","220","210","light blue","[190, 220, 210]"
"150 - 200 - 180","150","200","180","stormy sky","[150, 200, 180]"
"150 - 200 - 180","150","200","180","light teal","[150, 200, 180]"
"190 - 220 - 210","190","220","210","light blue","[190, 220, 210]"
"190 - 220 - 210","190","220","210","light grey","[190, 220, 210]"
"50 - 80 - 100","50","80","100","weird blue","[50, 80, 100]"
"50 - 80 - 100","50","80","100","slate blue","[50, 80, 100]"
"70 - 100 - 90","70","100","90","dark green","[70, 100, 90]"
"190 - 220 - 210","190","220","210","white blue","[190, 220, 210]"
"70 - 100 - 90","70","100","90","blue green","[70, 100, 90]"
"160 - 180 - 20","160","180","20","chartreuse","[160, 180, 20]"
"150 - 200 - 180","150","200","180","light blue","[150, 200, 180]"
"70 - 100 - 90","70","100","90","olive drab","[70, 100, 90]"
"10 - 90 - 210","10","90","210","royal blue","[10, 90, 210]"
"160 - 180 - 20","160","180","20","leaf green","[160, 180, 20]"
"240 - 0 - 10","240","0","10","bright red","[240, 0, 10]"
"220 - 240 - 150","220","240","150","pale green","[220, 240, 150]"
"200 - 160 - 180","200","160","180","light rose","[200, 160, 180]"
"70 - 100 - 90","70","100","90","slate gray","[70, 100, 90]"
"190 - 220 - 210","190","220","210","light blue","[190, 220, 210]"
"160 - 180 - 20","160","180","20","puke green","[160, 180, 20]"
"200 - 170 - 170","200","170","170","dusty rose","[200, 170, 170]"
"110 - 100 - 10","110","100","10","dark khaki","[110, 100, 10]"
"70 - 100 - 90","70","100","90","gray green","[70, 100, 90]"
"120 - 80 - 40","120","80","40","dark brown","[120, 80, 40]"
"150 - 200 - 180","150","200","180","stone blue","[150, 200, 180]"
"70 - 100 - 90","70","100","90","grey green","[70, 100, 90]"
"200 - 160 - 180","200","160","180","pale mauve","[200, 160, 180]"
"110 - 100 - 10","110","100","10","puke green","[110, 100, 10]"
"150 - 200 - 180","150","200","180","cloud blue","[150, 200, 180]"
"110 - 100 - 10","110","100","10","puke green","[110, 100, 10]"
"220 - 240 - 150","220","240","150","pale green","[220, 240, 150]"
"240 - 0 - 10","240","0","10","bright red","[240, 0, 10]"
"190 - 220 - 210","190","220","210","light blue","[190, 220, 210]"
"160 - 180 - 20","160","180","20","lime green","[160, 180, 20]"
"70 - 100 - 90","70","100","90","gray green","[70, 100, 90]"
"50 - 80 - 100","50","80","100","denim blue","[50, 80, 100]"
"130 - 130 - 130","130","130","130","steel blue","[130, 130, 130]"
"50 - 80 - 100","50","80","100","storm blue","[50, 80, 100]"
"70 - 100 - 90","70","100","90","slate blue","[70, 100, 90]"
"110 - 100 - 10","110","100","10","ugly brown","[110, 100, 10]"
"70 - 100 - 90","70","100","90","green grey","[70, 100, 90]"
"220 - 20 - 0","220","20","0","terracotta","[220, 20, 0]"
"150 - 200 - 180","150","200","180","pale green","[150, 200, 180]"
"150 - 200 - 180","150","200","180","light blue","[150, 200, 180]"
"250 - 120 - 30","250","120","30","clementine","[250, 120, 30]"
"200 - 160 - 180","200","160","180","purple ish","[200, 160, 180]"
"30 - 90 - 210","30","90","210","royal blue","[30, 90, 210]"
"100 - 60 - 20","100","60","20","deep brown","[100, 60, 20]"
"50 - 80 - 100","50","80","100","dusty blue","[50, 80, 100]"
"10 - 90 - 210","10","90","210","royal blue","[10, 90, 210]"
"220 - 240 - 150","220","240","150","lime green","[220, 240, 150]"
"150 - 200 - 180","150","200","180","ocean grey","[150, 200, 180]"
"190 - 220 - 210","190","220","210","light blue","[190, 220, 210]"
"190 - 220 - 210","190","220","210","light teal","[190, 220, 210]"
"150 - 200 - 180","150","200","180","light aqua","[150, 200, 180]"
"70 - 100 - 90","70","100","90","grey green","[70, 100, 90]"
"10 - 90 - 210","10","90","210","royal blue","[10, 90, 210]"
"50 - 80 - 100","50","80","100","slate blue","[50, 80, 100]"
"200 - 160 - 180","200","160","180","dusky rose","[200, 160, 180]"
"100 - 60 - 20","100","60","20","dark brown","[100, 60, 20]"
"160 - 180 - 20","160","180","20","chartreuse","[160, 180, 20]"
"240 - 0 - 10","240","0","10","bright red","[240, 0, 10]"
"150 - 200 - 180","150","200","180","blue green","[150, 200, 180]"
"150 - 200 - 180","150","200","180","sage green","[150, 200, 180]"
"240 - 0 - 10","240","0","10","bright red","[240, 0, 10]"
"240 - 0 - 10","240","0","10","bright red","[240, 0, 10]"
"10 - 90 - 210","10","90","210","light blue","[10, 90, 210]"
"150 - 200 - 180","150","200","180","gray green","[150, 200, 180]"
"160 - 180 - 20","160","180","20","shit green","[160, 180, 20]"
"200 - 170 - 170","200","170","170","light pink","[200, 170, 170]"
"170 - 160 - 40","170","160","40","dark beige","[170, 160, 40]"
"30 - 90 - 210","30","90","210","matte blue","[30, 90, 210]"
"110 - 100 - 10","110","100","10","ugly brown","[110, 100, 10]"
"160 - 180 - 20","160","180","20","acid green","[160, 180, 20]"
"200 - 160 - 180","200","160","180","po mo pink","[200, 160, 180]"
"70 - 100 - 90","70","100","90","green gray","[70, 100, 90]"
"70 - 100 - 90","70","100","90","grey green","[70, 100, 90]"
"160 - 180 - 20","160","180","20","puke green","[160, 180, 20]"
"160 - 180 - 20","160","180","20","pale green","[160, 180, 20]"
"70 - 100 - 90","70","100","90","grey green","[70, 100, 90]"
"160 - 180 - 20","160","180","20","lime green","[160, 180, 20]"
"190 - 220 - 210","190","220","210","mint green","[190, 220, 210]"
"200 - 100 - 70","200","100","70","red orange","[200, 100, 70]"
"220 - 20 - 0","220","20","0","signal red","[220, 20, 0]"
"110 - 100 - 10","110","100","10","dark green","[110, 100, 10]"
"110 - 100 - 10","110","100","10","puke brown","[110, 100, 10]"
"160 - 180 - 20","160","180","20","dark green","[160, 180, 20]"
"110 - 100 - 10","110","100","10","browngreen","[110, 100, 10]"
"100 - 60 - 20","100","60","20","dark brown","[100, 60, 20]"
"220 - 240 - 150","220","240","150","chartreuse","[220, 240, 150]"
"220 - 240 - 150","220","240","150","bone white","[220, 240, 150]"
"170 - 160 - 40","170","160","40","yellow ish","[170, 160, 40]"
"200 - 160 - 180","200","160","180","light plum","[200, 160, 180]"
"110 - 100 - 10","110","100","10","army green","[110, 100, 10]"
"200 - 170 - 170","200","170","170","light pink","[200, 170, 170]"
"50 - 80 - 100","50","80","100","steel blue","[50, 80, 100]"
"190 - 220 - 210","190","220","210","light blue","[190, 220, 210]"
"200 - 160 - 180","200","160","180","gray mauve","[200, 160, 180]"
"200 - 170 - 170","200","170","170","periwinkle","[200, 170, 170]"
"70 - 100 - 90","70","100","90","grey green","[70, 100, 90]"
"120 - 80 - 40","120","80","40","tumbleweed","[120, 80, 40]"
"200 - 170 - 170","200","170","170","ugly beige","[200, 170, 170]"
"220 - 20 - 0","220","20","0","bright red","[220, 20, 0]"
"200 - 170 - 170","200","170","170","light pink","[200, 170, 170]"
"190 - 220 - 210","190","220","210","light blue","[190, 220, 210]"
"190 - 220 - 210","190","220","210","light blue","[190, 220, 210]"
"190 - 220 - 210","190","220","210","green gray","[190, 220, 210]"
"10 - 90 - 210","10","90","210","royal blue","[10, 90, 210]"
"200 - 170 - 170","200","170","170","pale lilac","[200, 170, 170]"
"160 - 0 - 80","160","0","80","cherry red","[160, 0, 80]"
"70 - 100 - 90","70","100","90","gray green","[70, 100, 90]"
"220 - 240 - 150","220","240","150","mint green","[220, 240, 150]"
"30 - 90 - 210","30","90","210","light blue","[30, 90, 210]"
"70 - 100 - 90","70","100","90","dark green","[70, 100, 90]"
"150 - 200 - 180","150","200","180","light teal","[150, 200, 180]"
"190 - 220 - 210","190","220","210","light blue","[190, 220, 210]"
"160 - 180 - 20","160","180","20","chartreuse","[160, 180, 20]"
"150 - 200 - 180","150","200","180","grey green","[150, 200, 180]"
"10 - 90 - 210","10","90","210","happy blue","[10, 90, 210]"
"30 - 90 - 210","30","90","210","ocean blue","[30, 90, 210]"
"220 - 240 - 150","220","240","150","pale green","[220, 240, 150]"
"200 - 100 - 70","200","100","70","terracotta","[200, 100, 70]"
"10 - 90 - 210","10","90","210","royal blue","[10, 90, 210]"
"150 - 200 - 180","150","200","180","light blue","[150, 200, 180]"
"200 - 100 - 70","200","100","70","terracotta","[200, 100, 70]"
"100 - 60 - 20","100","60","20","dark brown","[100, 60, 20]"
"200 - 160 - 180","200","160","180","pale mauve","[200, 160, 180]"
"160 - 180 - 20","160","180","20","puke green","[160, 180, 20]"
"220 - 20 - 0","220","20","0","orange red","[220, 20, 0]"
"30 - 90 - 210","30","90","210","royal blue","[30, 90, 210]"
"50 - 80 - 100","50","80","100","weird grey","[50, 80, 100]"
"110 - 100 - 10","110","100","10","army green","[110, 100, 10]"
"200 - 160 - 180","200","160","180","dusty rose","[200, 160, 180]"
"70 - 100 - 90","70","100","90","navy green","[70, 100, 90]"
"50 - 80 - 100","50","80","100","light navy","[50, 80, 100]"
"110 - 100 - 10","110","100","10","chartreuse","[110, 100, 10]"
"190 - 220 - 210","190","220","210","light blue","[190, 220, 210]"
"190 - 220 - 210","190","220","210","pale green","[190, 220, 210]"
"160 - 180 - 20","160","180","20","leaf green","[160, 180, 20]"
"70 - 100 - 90","70","100","90","mouse grey","[70, 100, 90]"
"30 - 90 - 210","30","90","210","royal blue","[30, 90, 210]"
"150 - 200 - 180","150","200","180","light cyan","[150, 200, 180]"
"160 - 0 - 80","160","0","80","whiny wine","[160, 0, 80]"
"220 - 240 - 150","220","240","150","puke green","[220, 240, 150]"
"70 - 100 - 90","70","100","90","foggy gray","[70, 100, 90]"
"50 - 80 - 100","50","80","100","muted blue","[50, 80, 100]"
"220 - 20 - 0","220","20","0","cherry red","[220, 20, 0]"
"70 - 100 - 90","70","100","90","grey green","[70, 100, 90]"
"70 - 100 - 90","70","100","90","olive drab","[70, 100, 90]"
"220 - 20 - 0","220","20","0","really red","[220, 20, 0]"
"110 - 100 - 10","110","100","10","navy green","[110, 100, 10]"
"200 - 100 - 70","200","100","70","orange red","[200, 100, 70]"
"160 - 180 - 20","160","180","20","chartreuse","[160, 180, 20]"
"160 - 180 - 20","160","180","20","army green","[160, 180, 20]"
"150 - 200 - 180","150","200","180","pale green","[150, 200, 180]"
"70 - 100 - 90","70","100","90","slate grey","[70, 100, 90]"
"160 - 0 - 80","160","0","80","magentaish","[160, 0, 80]"
"200 - 170 - 170","200","170","170","light gray","[200, 170, 170]"
"240 - 0 - 10","240","0","10","orange red","[240, 0, 10]"
"190 - 220 - 210","190","220","210","pale green","[190, 220, 210]"
"220 - 240 - 150","220","240","150","mint green","[220, 240, 150]"
"150 - 200 - 180","150","200","180","light blue","[150, 200, 180]"
"70 - 100 - 90","70","100","90","green grey","[70, 100, 90]"
"190 - 220 - 210","190","220","210","light blue","[190, 220, 210]"
"190 - 220 - 210","190","220","210","steel grey","[190, 220, 210]"
"220 - 240 - 150","220","240","150","mist green","[220, 240, 150]"
"110 - 100 - 10","110","100","10","army green","[110, 100, 10]"
"250 - 240 - 0","250","240","0","light gold","[250, 240, 0]"
"160 - 0 - 80","160","0","80","red violet","[160, 0, 80]"
"170 - 160 - 40","170","160","40","drab olive","[170, 160, 40]"
"130 - 130 - 130","130","130","130","slate grey","[130, 130, 130]"
"200 - 100 - 70","200","100","70","pale brick","[200, 100, 70]"
"50 - 80 - 100","50","80","100","blue green","[50, 80, 100]"
"170 - 160 - 40","170","160","40","chartreuse","[170, 160, 40]"
"200 - 160 - 180","200","160","180","dirty pink","[200, 160, 180]"
"190 - 220 - 210","190","220","210","pale green","[190, 220, 210]"
"200 - 160 - 180","200","160","180","dusty rose","[200, 160, 180]"
"160 - 180 - 20","160","180","20","leaf green","[160, 180, 20]"
"220 - 240 - 150","220","240","150","pale green","[220, 240, 150]"
"110 - 100 - 10","110","100","10","dark olive","[110, 100, 10]"
"110 - 100 - 10","110","100","10","army green","[110, 100, 10]"
"220 - 20 - 0","220","20","0","orange red","[220, 20, 0]"
"50 - 80 - 100","50","80","100","dark denim","[50, 80, 100]"
"160 - 180 - 20","160","180","20","lawn green","[160, 180, 20]"
"160 - 180 - 20","160","180","20","camo green","[160, 180, 20]"
"30 - 90 - 210","30","90","210","light blue","[30, 90, 210]"
"70 - 100 - 90","70","100","90","grey green","[70, 100, 90]"
"110 - 100 - 10","110","100","10","olive drab","[110, 100, 10]"
"220 - 20 - 0","220","20","0","cherry red","[220, 20, 0]"
"50 - 80 - 100","50","80","100","ocean blue","[50, 80, 100]"
"70 - 100 - 90","70","100","90","dark green","[70, 100, 90]"
"170 - 160 - 40","170","160","40","grey green","[170, 160, 40]"
"100 - 60 - 20","100","60","20","poo brown","[100, 60, 20]"
"200 - 100 - 70","200","100","70","rusty red","[200, 100, 70]"
"50 - 80 - 100","50","80","100","dark grey","[50, 80, 100]"
"130 - 130 - 130","130","130","130","dark gray","[130, 130, 130]"
"200 - 160 - 180","200","160","180","pale pink","[200, 160, 180]"
"160 - 180 - 20","160","180","20","pea green","[160, 180, 20]"
"150 - 200 - 180","150","200","180","gray blue","[150, 200, 180]"
"160 - 180 - 20","160","180","20","pea green","[160, 180, 20]"
"200 - 100 - 70","200","100","70","weird red","[200, 100, 70]"
"160 - 180 - 20","160","180","20","pea green","[160, 180, 20]"
"120 - 80 - 40","120","80","40","dry brown","[120, 80, 40]"
"220 - 240 - 150","220","240","150","split pea","[220, 240, 150]"
"220 - 240 - 150","220","240","150","parchment","[220, 240, 150]"
"200 - 170 - 170","200","170","170","pink grey","[200, 170, 170]"
"150 - 200 - 180","150","200","180","turquoise","[150, 200, 180]"
"190 - 220 - 210","190","220","210","baby blue","[190, 220, 210]"
"170 - 160 - 40","170","160","40","pea green","[170, 160, 40]"
"50 - 80 - 100","50","80","100","grey blue","[50, 80, 100]"
"200 - 170 - 170","200","170","170","grey pink","[200, 170, 170]"
"170 - 160 - 40","170","160","40","goldenrod","[170, 160, 40]"
"50 - 80 - 100","50","80","100","dark teal","[50, 80, 100]"
"70 - 100 - 90","70","100","90","dark grey","[70, 100, 90]"
"150 - 200 - 180","150","200","180","dull blue","[150, 200, 180]"
"50 - 80 - 100","50","80","100","grey blue","[50, 80, 100]"
"50 - 80 - 100","50","80","100","blue grey","[50, 80, 100]"
"50 - 80 - 100","50","80","100","deep blue","[50, 80, 100]"
"70 - 100 - 90","70","100","90","gray blue","[70, 100, 90]"
"200 - 170 - 170","200","170","170","light red","[200, 170, 170]"
"160 - 0 - 80","160","0","80","raspberry","[160, 0, 80]"
"130 - 130 - 130","130","130","130","dark gray","[130, 130, 130]"
"150 - 200 - 180","150","200","180","sea green","[150, 200, 180]"
"220 - 240 - 150","220","240","150","chartruse","[220, 240, 150]"
"110 - 100 - 10","110","100","10","mud brown","[110, 100, 10]"
"150 - 200 - 180","150","200","180","grey blue","[150, 200, 180]"
"170 - 160 - 40","170","160","40","yellowish","[170, 160, 40]"
"200 - 170 - 170","200","170","170","dark pink","[200, 170, 170]"
"50 - 80 - 100","50","80","100","dusk blue","[50, 80, 100]"
"50 - 80 - 100","50","80","100","navy blue","[50, 80, 100]"
"50 - 80 - 100","50","80","100","dark blue","[50, 80, 100]"
"50 - 80 - 100","50","80","100","blue grey","[50, 80, 100]"
"70 - 100 - 90","70","100","90","pale blue","[70, 100, 90]"
"50 - 80 - 100","50","80","100","blue grey","[50, 80, 100]"
"200 - 160 - 180","200","160","180","pale pink","[200, 160, 180]"
"160 - 0 - 80","160","0","80","dark pink","[160, 0, 80]"
"50 - 80 - 100","50","80","100","dull blue","[50, 80, 100]"
"50 - 80 - 100","50","80","100","blue grey","[50, 80, 100]"
"150 - 200 - 180","150","200","180","sea green","[150, 200, 180]"
"50 - 80 - 100","50","80","100","dark aqua","[50, 80, 100]"
"220 - 20 - 0","220","20","0","brick red","[220, 20, 0]"
"50 - 80 - 100","50","80","100","dark blue","[50, 80, 100]"
"30 - 90 - 210","30","90","210","dark blue","[30, 90, 210]"
"50 - 80 - 100","50","80","100","cold blue","[50, 80, 100]"
"130 - 130 - 130","130","130","130","true grey","[130, 130, 130]"
"200 - 160 - 180","200","160","180","pale pink","[200, 160, 180]"
"190 - 220 - 210","190","220","210","pale blue","[190, 220, 210]"
"50 - 80 - 100","50","80","100","dark blue","[50, 80, 100]"
"130 - 130 - 130","130","130","130","dark grey","[130, 130, 130]"
"50 - 80 - 100","50","80","100","blue gray","[50, 80, 100]"
"130 - 130 - 130","130","130","130","dark grey","[130, 130, 130]"
"50 - 80 - 100","50","80","100","dark teal","[50, 80, 100]"
"190 - 220 - 210","190","220","210","blue grey","[190, 220, 210]"
"50 - 80 - 100","50","80","100","gray blue","[50, 80, 100]"
"50 - 80 - 100","50","80","100","blue gray","[50, 80, 100]"
"50 - 80 - 100","50","80","100","dark cyan","[50, 80, 100]"
"160 - 0 - 80","160","0","80","raspberry","[160, 0, 80]"
"50 - 80 - 100","50","80","100","grey blue","[50, 80, 100]"
"160 - 180 - 20","160","180","20","lima bean","[160, 180, 20]"
"70 - 100 - 90","70","100","90","blue grey","[70, 100, 90]"
"70 - 100 - 90","70","100","90","blue grey","[70, 100, 90]"
"160 - 0 - 80","160","0","80","brick red","[160, 0, 80]"
"190 - 220 - 210","190","220","210","calm blue","[190, 220, 210]"
"100 - 60 - 20","100","60","20","black tea","[100, 60, 20]"
"70 - 100 - 90","70","100","90","deep pine","[70, 100, 90]"
"70 - 100 - 90","70","100","90","chartreux","[70, 100, 90]"
"190 - 220 - 210","190","220","210","sea green","[190, 220, 210]"
"150 - 200 - 180","150","200","180","blue gray","[150, 200, 180]"
"200 - 160 - 180","200","160","180","dark pink","[200, 160, 180]"
"160 - 0 - 80","160","0","80","deep rose","[160, 0, 80]"
"50 - 80 - 100","50","80","100","grey blue","[50, 80, 100]"
"190 - 220 - 210","190","220","210","baby blue","[190, 220, 210]"
"150 - 200 - 180","150","200","180","blue grey","[150, 200, 180]"
"220 - 20 - 0","220","20","0","super red","[220, 20, 0]"
"70 - 100 - 90","70","100","90","deep aqua","[70, 100, 90]"
"200 - 160 - 180","200","160","180","something","[200, 160, 180]"
"250 - 120 - 30","250","120","30","tangerine","[250, 120, 30]"
"200 - 170 - 170","200","170","170","faded red","[200, 170, 170]"
"70 - 100 - 90","70","100","90","dark gray","[70, 100, 90]"
"50 - 80 - 100","50","80","100","teal blue","[50, 80, 100]"
"70 - 100 - 90","70","100","90","blue grey","[70, 100, 90]"
"50 - 80 - 100","50","80","100","deep blue","[50, 80, 100]"
"150 - 200 - 180","150","200","180","sea green","[150, 200, 180]"
"200 - 160 - 180","200","160","180","gray pink","[200, 160, 180]"
"70 - 100 - 90","70","100","90","sea green","[70, 100, 90]"
"200 - 160 - 180","200","160","180","dark pink","[200, 160, 180]"
"50 - 80 - 100","50","80","100","dark blue","[50, 80, 100]"
"190 - 220 - 210","190","220","210","ice blue","[190, 220, 210]"
"150 - 200 - 180","150","200","180","pale teal","[150, 200, 180]"
"150 - 200 - 180","150","200","180","blue gray","[150, 200, 180]"
"160 - 180 - 20","160","180","20","baby poop","[160, 180, 20]"
"190 - 220 - 210","190","220","210","baby blue","[190, 220, 210]"
"50 - 80 - 100","50","80","100","dark teal","[50, 80, 100]"
"70 - 100 - 90","70","100","90","torquiose","[70, 100, 90]"
"220 - 240 - 150","220","240","150","off white","[220, 240, 150]"
"50 - 80 - 100","50","80","100","teal blue","[50, 80, 100]"
"190 - 220 - 210","190","220","210","grey blue","[190, 220, 210]"
"240 - 0 - 10","240","0","10","light red","[240, 0, 10]"
"170 - 160 - 40","170","160","40","goldenrod","[170, 160, 40]"
"220 - 240 - 150","220","240","150","beigeish?","[220, 240, 150]"
"50 - 80 - 100","50","80","100","blue grey","[50, 80, 100]"
"70 - 100 - 90","70","100","90","turquoise","[70, 100, 90]"
"190 - 220 - 210","190","220","210","pale blue","[190, 220, 210]"
"70 - 100 - 90","70","100","90","blue grey","[70, 100, 90]"
"120 - 80 - 40","120","80","40","chocolate","[120, 80, 40]"
"50 - 80 - 100","50","80","100","grey blue","[50, 80, 100]"
"150 - 200 - 180","150","200","180","grey blue","[150, 200, 180]"
"160 - 180 - 20","160","180","20","pea green","[160, 180, 20]"
"160 - 0 - 80","160","0","80","blued red","[160, 0, 80]"
"150 - 200 - 180","150","200","180","teal blue","[150, 200, 180]"
"50 - 80 - 100","50","80","100","grey blue","[50, 80, 100]"
"50 - 80 - 100","50","80","100","navy blue","[50, 80, 100]"
"50 - 80 - 100","50","80","100","grey blue","[50, 80, 100]"
"190 - 220 - 210","190","220","210","sky blue","[190, 220, 210]"
"200 - 170 - 170","200","170","170","dull pink","[200, 170, 170]"
"200 - 100 - 70","200","100","70","brick red","[200, 100, 70]"
